id,skill_name,skill_category,activity_name,level,description,date,created_at,updated_at
local-31,Data Analytics,Patterns & Practices,Project Work,2,One of the main tasks in my job as function developer was to identify patterns in data and explain system behavior in certain situations. My main tool to do this was Matlab with a self-developed framework for data handling evaluation and visualization.,2012-08-01,2012-08-01T00:00:00.000Z,2012-08-01T00:00:00.000Z
local-32,Deep Learning,Patterns & Practices,Self Study,1,Some experience using tools like Tensorflow Keras to implement neural networks for image classification text generation and image generation using GAN approach. Mostly due to my deeplearning and AI nanodegree in Udacity.,2018-02-01,2018-02-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
local-33,DevOps,Patterns & Practices,Project Work,5,Drawing from previous experience and a wide network of DevOps practicioners I strongly influenced our teams decision regarding team setup development processes and priority of component development. This meant bridging classic automotive processes to a DevOps mindset.,2018-02-01,2018-02-01T00:00:00.000Z,2018-02-01T00:00:00.000Z
local-34,DevOps,Patterns & Practices,Project Work,3,Being responsible for a joint development mindset for a team of ~10 developers I often came back to things like DevOps Topologies to find possible solutions to issues in our working mode. Spanning multiple products and technical skillsets resulted in a more generic view of DevOps practices in general instead of mapping them directly to explicit problems for a given product development.,2016-11-01,2016-11-01T00:00:00.000Z,2016-11-01T00:00:00.000Z
local-35,DevOps,Patterns & Practices,Project Work,2,Starting development with a PaaS cloud lead to an increased complexity regarding solution architecture (microservices) and deployment models. Rethinking our previous processes brought us back to the DevOps core principles and come up with a set of adapted guidelines.,2015-08-01,2015-08-01T00:00:00.000Z,2015-08-01T00:00:00.000Z
local-36,DevOps,Patterns & Practices,Self Study,1,Having experienced people consult our project quickly lead to very high standards regarding automation operational responsibility and deployment patterns in our team.,2014-11-01,2014-11-01T00:00:00.000Z,2014-11-01T00:00:00.000Z
local-37,Docker,Languages & Tools,Project Work,3,Setting up and operating a multi-machine development environment on Azure gave me a lot new insights into using Docker and docker-compose to run applications with minimal bootstrapping of the VM.,2019-03-01,2019-03-01T00:00:00.000Z,2019-03-01T00:00:00.000Z
local-38,Docker,Languages & Tools,Project Work,2,Using Docker heavily to guarantee consistent software behavior across various developer machines as well as production systems. By this time I maintain several Docker images - most based on Node.js.,2017-01-01,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z
local-39,Docker,Languages & Tools,Self Study,1,Becoming a Docker user at work running images provided by others with slight modifications and some custom builds.,2016-04-01,2016-04-01T00:00:00.000Z,2016-04-01T00:00:00.000Z
local-40,Docs as Code,Patterns & Practices,Project Work,3,Starting march I introduced AsciiDoc based documentation to a new project for all engineering documents. Working with a lot of diagrams in PlantUML and multi repository builds using Antora site generator.,2019-03-01,2019-03-01T00:00:00.000Z,2019-03-01T00:00:00.000Z
local-41,Docs as Code,Patterns & Practices,Project Work,2,Deprecated all other documentation tools besides pure markdown early 2018 and evaluating a markdown only approach.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-42,Ethereum,Platforms,Project Work,1,I spent some time building a smart contract using truffle for the OpenMined project.,2017-08-01,2017-08-01T00:00:00.000Z,2017-08-01T00:00:00.000Z
local-43,GitHub,Platforms,Project Work,3,Starting rather late in the GitHub game I quickly learned how the platform and its users work together and am now familiar with navigating the projects hosting my own contributing to other repositories and community design aspects.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-44,GitHub,Platforms,Self Study,1,In 2016 I published my first private project on GitHub. Before that I hosted a few projects on private BitBucket repositories.,2016-04-01,2016-04-01T00:00:00.000Z,2016-04-01T00:00:00.000Z
local-45,go,Languages & Tools,Self Study,2,Participating in the #adventOfCode2018 in a joint social coding project I solved each day using go and learned more about the language each day.,2019-01-01,2019-01-01T00:00:00.000Z,2019-01-01T00:00:00.000Z
local-46,Google Firebase,Platforms,Project Work,2,Using firebase & firestore for several of my private projects I a familiar with implementing secure access rules for firestore oauth providers and hosting static content on firebase. Some experience with developing functions.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-47,Google Firebase,Platforms,Project Work,1,During a hackathon I built my first project using firebase as a serverless backend for web applications.,2017-04-01,2017-04-01T00:00:00.000Z,2017-04-01T00:00:00.000Z
local-48,Hugo,Languages & Tools,Project Work,2,For devradar.io I built a heavily customized theme and got a look into the underlying concepts of types categories and how the rendering takes place.,2019-06-01,2019-06-01T00:00:00.000Z,2019-06-01T00:00:00.000Z
local-49,Infrastructure as Code,Patterns & Practices,Project Work,2,Several months of experience building terraform recipes and automation using CLI commands for Azure services.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-50,Jupyter,Languages & Tools,Self Study,2,Used extensively during my Udacity courses in 2017-2018 I got a good understanding of what the Jupyter platform is capable of and which use cases it can cover.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-51,Kubernetes,Platforms,Self Study,1,My only experience with K8s is working on Azures AKS offering. Most of the things I have done so far are only in the proof of concept area. I am familiar with some parts of the ecosystem like using kubectl or helm charts,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-52,Matlab,Languages & Tools,Project Work,2,Haven't used it in a long time but still know when to use it and what patterns should be obeyed when writing Matlab functions.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-53,Matlab,Languages & Tools,Project Work,5,Using Matlab for several years in my daily professional life I am very experienced and know how to build functions libraries and scripts for various use cases.,2014-08-01,2014-08-01T00:00:00.000Z,2014-08-01T00:00:00.000Z
local-54,Node.JS,Languages & Tools,Project Work,5,I am using node since 2014 and have used it daily since. My main uses are web applications serverless functions and smaller scripts/tools. I am familiar with latest JS features and event driven programming.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-55,Node.JS,Languages & Tools,Project Work,2,In 2015 I started building a larger project with node and also lead an increasing team of developers. Around the time that node started to mature and come around with LTS plans it seemed like a perfect fit to invest more heavily into the language. I started building larger side projects and familiarize myself with the node ecosystem by building my own (first private) packages.,2015-03-01,2015-03-01T00:00:00.000Z,2015-03-01T00:00:00.000Z
local-56,Node.JS,Languages & Tools,Project Work,1,My first contact with node was while developing a prototype for a connected vehicle at work.,2014-06-01,2014-06-01T00:00:00.000Z,2014-06-01T00:00:00.000Z
local-57,OpenCV,Languages & Tools,Project Work,1,Introduced to it shortly in an AI nanodegree I used it in a few occassion for smaller side projects to detect movement in images basic emotion detection etc.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-58,PlantUML,Languages & Tools,Project Work,5,Heavy user of plantuml to help in creating discussing and documenting various concepts.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-59,Python,Languages & Tools,Training,3,Building and executing a Python Training for newcomers. Due to COVID fully remote with ~20 participants. 8 lessons of 2.5 hours each.,2021-05-01,2021-05-01T00:00:00.000Z,2021-05-01T00:00:00.000Z
local-60,Python,Languages & Tools,Project Work,3,Building several automation scripts working with Microsoft365 API Web Automation via Selenium. Polishing up my software engineering knowledge in the Python ecosystem with pydocstyle pyunit pycodestyle and typing with mypy including automation via GitHub Actions. Learned a lot about latest Python 3 features and renewed my Class knowledge.,2021-03-01,2021-03-01T00:00:00.000Z,2021-03-01T00:00:00.000Z
local-61,Python,Languages & Tools,Self Study,3,I developed a deeper understanding of the Python language and its patterns through two Udacity nanodegree programs in the field of AI,2018-01-01,2018-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z
local-62,Python,Languages & Tools,Self Study,2,Interested in data analytics I started using python and analytics libraries like scikitlearn or numpy to analyze different personal datasets.,2017-01-01,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z
local-63,ROS,Frameworks,Project Work,1,During a Hackathon in October 2018 within a group of 4 I was in charge of prototyping and developing a control interface for a ROS based humanoid robot arm by Festo. As an interface the ROS web bridge (web sockets) was used. This gave insights into how the framework is structured into topics services etc as well as first experience in what a good ROS architecture looks like. By delivering a working prototype with a valid new use case for the existing product we won the Festo challenge. The source code as well as a demo video can be found on the R.I.C GitHub repository,2018-11-01,2018-11-01T00:00:00.000Z,2018-11-01T00:00:00.000Z
local-64,Software Architecture,Patterns & Practices,Training,3,After doing software and solution architecture for several years in multiple domains (ECU software cloud solutions) I decided to get an introduction into the official world of software architecture by visiting a 4 day onsite training by the german company Oose that specialices in IT trainings. As expected the training helped me structure my existing tools and approaches towards problem solving by putting individual architectural steps like definition of constraints system context component/deployment views into relation with each other and giving me a better idea which stakeholders are responsible to develop the individual artefacts.,2018-11-01,2018-11-01T00:00:00.000Z,2018-11-01T00:00:00.000Z
local-65,Sphinx,Languages & Tools,Project Work,1,Using Sphinx for documenting one enduser program and one developer-oriented Python library. Custom content provided via .rst and code documentation using Google-style pydocstrings,2021-08-01,2021-08-01T00:00:00.000Z,2021-08-01T00:00:00.000Z
local-66,Static Site Generators,Patterns & Practices,Project Work,3,Moving my blog from Jekyll to Hugo I learned more about customizing static site builds and gained experience in another generator technology.,2019-02-01,2019-02-01T00:00:00.000Z,2019-02-01T00:00:00.000Z
local-67,Static Site Generators,Patterns & Practices,Project Work,2,Starting my own blog I dug deeper into the workings of Jekyll and hosting possibilities in the Open Source space.,2018-04-01,2018-04-01T00:00:00.000Z,2018-04-01T00:00:00.000Z
local-68,Static Site Generators,Patterns & Practices,Project Work,1,I set up the initial version of my personal website anoff.io using Jekyll hosted via GitHub pages.,2017-03-01,2017-03-01T00:00:00.000Z,2017-03-01T00:00:00.000Z
local-69,Terraform,Languages & Tools,Project Work,3,Several months working with the Azure provider building modules working with remote levels etc.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-70,Terraform,Languages & Tools,Project Work,2,Using a lot of deployment for Azure functions I created and published my first Terraform module for Azure functions,2018-03-01,2018-03-01T00:00:00.000Z,2018-03-01T00:00:00.000Z
local-71,VS Code,Languages & Tools,Project Work,3,I have a set of extensions I make extensive use of and even written my own theme available on the marketplace.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-72,Vue,Frameworks,Project Work,3,After building multiple web apps in Vue especially the editor and teams app for #devradar I grow quite familiar with Vue.js. Both in JavaScript and Typescript.,2019-08-01,2019-08-01T00:00:00.000Z,2019-08-01T00:00:00.000Z
local-73,Vue,Frameworks,Project Work,2,I built several smaller web UIs using vue in 2018. Got into concepts like vuex and data stores to some extent but never used it in larger codebases.,2018-08-01,2018-08-01T00:00:00.000Z,2018-08-01T00:00:00.000Z
local-74,Web Design,Patterns & Practices,Project Work,3,Building devradar.io and trying to get a consistent branding across multiple web platforms taught me a lot about css and HTML.,2019-06-01,2019-06-01T00:00:00.000Z,2019-06-01T00:00:00.000Z
